# lag  rho_y2
# # fit_params: A=5.20568707e-01  tau=2.42219634e+00
  0.00000000e+00   1.00000000e+00
  1.00000000e+00   3.44967651e-01
  2.00000000e+00   2.24794986e-01
  3.00000000e+00   1.52659703e-01
  4.00000000e+00   1.03792589e-01
  5.00000000e+00   6.83667969e-02
  6.00000000e+00   4.23908914e-02
  7.00000000e+00   2.54836284e-02
  8.00000000e+00   1.53821683e-02
  9.00000000e+00   1.05396033e-02
  1.00000000e+01   6.53370308e-03
  1.10000000e+01   5.42497140e-03
  1.20000000e+01   3.18274734e-03
  1.30000000e+01   2.43127424e-03
  1.40000000e+01   8.95487438e-04
  1.50000000e+01   6.02853302e-04
  1.60000000e+01  -7.04405572e-04
  1.70000000e+01  -7.22938478e-04
  1.80000000e+01   2.67562286e-04
  1.90000000e+01   5.39792363e-04
  2.00000000e+01  -4.10879705e-04
  2.10000000e+01   5.76354330e-04
  2.20000000e+01   1.50399866e-03
  2.30000000e+01  -2.32334550e-04
  2.40000000e+01  -3.73661330e-04
  2.50000000e+01   8.78427928e-05
  2.60000000e+01  -4.48120100e-05
  2.70000000e+01  -1.26031480e-03
  2.80000000e+01  -1.50959479e-03
  2.90000000e+01  -8.80783160e-04
  3.00000000e+01  -1.00989930e-03
  3.10000000e+01  -5.37247452e-06
  3.20000000e+01  -9.95807203e-04
  3.30000000e+01   1.36753847e-04
  3.40000000e+01   2.32239494e-03
  3.50000000e+01   1.93160437e-03
  3.60000000e+01   1.90867140e-03
  3.70000000e+01   2.63019432e-03
  3.80000000e+01   1.47734678e-03
  3.90000000e+01   1.26010585e-03
  4.00000000e+01   7.18150679e-04
  4.10000000e+01   8.20509742e-04
  4.20000000e+01   1.13924271e-03
  4.30000000e+01   2.26256917e-04
  4.40000000e+01  -3.02247043e-04
  4.50000000e+01  -5.32832560e-04
  4.60000000e+01   1.79727550e-03
  4.70000000e+01   8.24547172e-04
  4.80000000e+01   2.18691023e-04
  4.90000000e+01   1.37624075e-03
  5.00000000e+01   1.93796603e-03
