# lag  rho_y2
# # fit_params: A=7.20601732e+01  tau=1.00002532e-01
  0.00000000e+00   1.00000000e+00
  1.00000000e+00   3.27246179e-03
  2.00000000e+00  -1.43877766e-03
  3.00000000e+00   1.26733586e-04
  4.00000000e+00  -5.53345663e-04
  5.00000000e+00   5.25111510e-04
  6.00000000e+00   7.03147491e-04
  7.00000000e+00   1.04020252e-03
  8.00000000e+00  -1.53194314e-03
  9.00000000e+00   1.43042712e-03
  1.00000000e+01  -1.51179057e-03
  1.10000000e+01   5.45245558e-04
  1.20000000e+01   6.95087678e-04
  1.30000000e+01   1.91103927e-03
  1.40000000e+01  -8.77670354e-04
  1.50000000e+01  -1.46128348e-03
  1.60000000e+01   2.87494725e-04
  1.70000000e+01   4.51113135e-04
  1.80000000e+01   1.68102793e-03
  1.90000000e+01  -8.53514030e-06
  2.00000000e+01  -1.13875245e-03
  2.10000000e+01   6.13790017e-04
  2.20000000e+01   1.19001360e-03
  2.30000000e+01   6.00107145e-04
  2.40000000e+01   4.55018804e-04
  2.50000000e+01   9.25753889e-06
  2.60000000e+01  -1.36428920e-03
  2.70000000e+01  -1.30714430e-04
  2.80000000e+01  -3.73154581e-04
  2.90000000e+01  -1.35437355e-04
  3.00000000e+01   2.47032669e-03
  3.10000000e+01   1.60517454e-04
  3.20000000e+01  -5.02785334e-04
  3.30000000e+01   1.52768866e-03
  3.40000000e+01   1.38573807e-03
  3.50000000e+01   2.04663511e-03
  3.60000000e+01   1.78157117e-03
  3.70000000e+01   8.30843097e-04
  3.80000000e+01   1.18095330e-03
  3.90000000e+01   3.54787451e-04
  4.00000000e+01   2.11216895e-03
  4.10000000e+01   6.42575368e-05
  4.20000000e+01  -2.91161657e-04
  4.30000000e+01  -1.21126595e-03
  4.40000000e+01   9.44558001e-04
  4.50000000e+01   3.83990528e-04
  4.60000000e+01   1.28977409e-03
  4.70000000e+01  -1.44354743e-03
  4.80000000e+01   3.51275107e-04
  4.90000000e+01   1.13975703e-03
  5.00000000e+01  -1.30757046e-04
