# lag  rho_y2
# # fit_params: A=1.90488041e-01  tau=2.95785116e-01
  0.00000000e+00   1.00000000e+00
  1.00000000e+00   6.47881547e-03
  2.00000000e+00   3.02884973e-04
  3.00000000e+00  -1.15168982e-03
  4.00000000e+00  -1.03195788e-03
  5.00000000e+00  -2.79688607e-04
  6.00000000e+00   1.22854500e-04
  7.00000000e+00  -1.98233551e-04
  8.00000000e+00  -6.06051550e-04
  9.00000000e+00   5.34265359e-04
  1.00000000e+01   1.12436722e-03
  1.10000000e+01  -8.48588648e-04
  1.20000000e+01  -1.10401276e-03
  1.30000000e+01  -1.03440534e-03
  1.40000000e+01   3.27167131e-04
  1.50000000e+01  -2.36174535e-06
  1.60000000e+01  -2.92682528e-04
  1.70000000e+01  -5.62583953e-04
  1.80000000e+01  -1.37516660e-03
  1.90000000e+01   3.88745429e-04
  2.00000000e+01  -1.25394543e-03
  2.10000000e+01  -1.18875246e-04
  2.20000000e+01   2.22971870e-05
  2.30000000e+01   6.86560111e-04
  2.40000000e+01   8.56771355e-05
  2.50000000e+01   5.12855481e-04
  2.60000000e+01  -7.10032054e-04
  2.70000000e+01   8.92973499e-04
  2.80000000e+01  -7.21492978e-04
  2.90000000e+01  -2.26759180e-04
  3.00000000e+01  -6.95233798e-05
  3.10000000e+01  -6.77756645e-04
  3.20000000e+01  -8.09125091e-04
  3.30000000e+01  -1.20678112e-03
  3.40000000e+01   2.04631409e-05
  3.50000000e+01  -8.47670687e-04
  3.60000000e+01   1.51694893e-03
  3.70000000e+01  -1.47557353e-04
  3.80000000e+01  -8.34998005e-04
  3.90000000e+01  -2.13692270e-03
  4.00000000e+01  -1.63589393e-03
  4.10000000e+01   1.53744089e-04
  4.20000000e+01  -3.13371347e-04
  4.30000000e+01   3.54103434e-04
  4.40000000e+01  -1.81915478e-04
  4.50000000e+01  -9.26613767e-04
  4.60000000e+01   2.56334420e-03
  4.70000000e+01   5.19930835e-04
  4.80000000e+01   1.58325916e-04
  4.90000000e+01   6.86438330e-04
  5.00000000e+01  -2.61003635e-04
