# n  yc_mean  yc_err  y2c_mean  y2c_err  y3c_mean  y3c_err  Ac_mean  Ac_err
  1.00000000e+00   4.07554271e-01   2.45847044e-04   3.31790604e-01   4.73522644e-04   1.31121147e+00   2.81141789e-03   4.04435449e-01   1.29852542e-03
  2.00000000e+00   3.33845163e-01   2.37226291e-04   2.22572838e-01   3.91297056e-04   9.64906575e-01   2.25683804e-03   2.22168105e-01   9.32280826e-04
  3.00000000e+00   2.73474871e-01   2.25975095e-04   1.49335715e-01   3.21148564e-04   7.30400704e-01   1.81941109e-03   1.21979001e-01   6.69914732e-04
  4.00000000e+00   2.24019436e-01   2.14131108e-04   1.00184684e-01   2.64825401e-04   5.65176006e-01   1.48440854e-03   6.69170826e-02   4.89844414e-04
  5.00000000e+00   1.83536795e-01   2.04089861e-04   6.72555973e-02   2.22079291e-04   4.44865309e-01   1.24447846e-03   3.66928808e-02   3.78728468e-04
  6.00000000e+00   1.50396274e-01   1.96241293e-04   4.51531101e-02   1.89401631e-04   3.54513887e-01   1.05388210e-03   2.00615104e-02   3.01968021e-04
  7.00000000e+00   1.23278406e-01   1.90357357e-04   3.03244032e-02   1.65861152e-04   2.85203400e-01   9.06121637e-04   1.09255095e-02   2.47745301e-04
  8.00000000e+00   1.01073167e-01   1.86552809e-04   2.03693550e-02   1.49708592e-04   2.30816147e-01   7.98095778e-04   5.90868660e-03   2.11268027e-04
  9.00000000e+00   8.29081513e-02   1.83703091e-04   1.36700917e-02   1.39036381e-04   1.87781922e-01   7.19465409e-04   3.30821751e-03   1.90824703e-04
  1.00000000e+01   6.79917682e-02   1.82366796e-04   9.12818241e-03   1.33034416e-04   1.53188341e-01   6.63162213e-04   1.91922974e-03   1.74859075e-04
  1.10000000e+01   5.57615713e-02   1.82118707e-04   6.12302145e-03   1.28502301e-04   1.25306122e-01   6.23633879e-04   1.15524945e-03   1.67496316e-04
  1.20000000e+01   4.57462917e-02   1.82911570e-04   4.09622051e-03   1.26527965e-04   1.02595200e-01   5.92927903e-04   7.07842477e-04   1.60029626e-04
  1.30000000e+01   3.76014175e-02   1.83818524e-04   2.72632852e-03   1.24703171e-04   8.42104931e-02   5.84840398e-04   4.27967477e-04   1.61411839e-04
  1.40000000e+01   3.09145009e-02   1.84405160e-04   1.73948727e-03   1.22789385e-04   6.90843291e-02   5.67530754e-04   2.61428736e-04   1.56282791e-04
  1.50000000e+01   2.55020884e-02   1.85664421e-04   1.10624656e-03   1.22119214e-04   5.68851883e-02   5.71705953e-04   1.97497592e-04   1.52725256e-04
  1.60000000e+01   2.10824435e-02   1.87009964e-04   6.94602140e-04   1.22014265e-04   4.69381176e-02   5.72363909e-04   2.15400467e-04   1.54320005e-04
  1.70000000e+01   1.75002123e-02   1.89449344e-04   3.85374679e-04   1.21329277e-04   3.86323290e-02   5.69291071e-04   9.97213405e-05   1.52911377e-04
  1.80000000e+01   1.46110216e-02   1.94018565e-04   1.87993559e-04   1.20543482e-04   3.20183317e-02   5.70790894e-04   5.14393562e-05   1.50043769e-04
  1.90000000e+01   1.23113553e-02   1.99360722e-04   1.48310635e-04   1.20605942e-04   2.69135357e-02   5.80569715e-04   5.73851850e-05   1.47154157e-04
  2.00000000e+01   1.04856924e-02   2.06364542e-04   1.15247212e-04   1.22133947e-04   2.29011539e-02   5.97117628e-04   6.30842962e-06   1.45194140e-04
  2.10000000e+01   9.09550534e-03   2.15118445e-04   1.16465745e-04   1.26787522e-04   1.98948640e-02   6.18063522e-04   1.50005102e-05   1.45623445e-04
  2.20000000e+01   8.04258616e-03   2.24628719e-04   6.75381200e-05   1.31938130e-04   1.75136147e-02   6.42149508e-04  -3.60654001e-05   1.51372403e-04
  2.30000000e+01   7.32621875e-03   2.35383207e-04   8.71367639e-05   1.43066449e-04   1.57707907e-02   6.63816971e-04  -2.32808059e-04   1.61993267e-04
  2.40000000e+01   6.91980224e-03   2.43528124e-04   8.63709434e-05   1.56568015e-04   1.46873933e-02   6.86966989e-04  -3.86881829e-04   1.84846946e-04
  2.50000000e+01   6.80248859e-03   2.46827688e-04   8.24177460e-05   1.66311694e-04   1.45187680e-02   7.11595759e-04  -3.22393727e-04   2.07624750e-04
