# n  DE_yc  DE_yc_err  DE_y2c  DE_y2c_err  DE_y3c  DE_y3c_err  DE_Ac  DE_Ac_err
  1.00000000e+00   9.97484020e-01   6.65222683e-04   1.99624825e+00   2.20250761e-03   1.53337746e+00   2.02223036e-03   2.99528909e+00   6.89891736e-03
  2.00000000e+00   9.97337809e-01   7.90522974e-04   1.99528757e+00   2.83639052e-03   1.39218995e+00   2.16777663e-03   2.99792713e+00   9.65678703e-03
  3.00000000e+00   9.97384611e-01   9.53989833e-04   1.99590785e+00   3.72486489e-03   1.28228048e+00   2.43678938e-03   3.00197320e+00   1.42229680e-02
  4.00000000e+00   9.96588261e-01   1.17861987e-03   1.99257542e+00   5.02291213e-03   1.19682819e+00   2.66407406e-03   3.00435777e+00   2.21850428e-02
  5.00000000e+00   9.95707630e-01   1.48563822e-03   1.99220544e+00   6.92182941e-03   1.13512021e+00   2.95861139e-03   3.01889872e+00   3.45565447e-02
  6.00000000e+00   9.94141872e-01   1.79304830e-03   1.99053196e+00   9.85747763e-03   1.08772455e+00   3.49603252e-03   3.03851425e+00   5.59622969e-02
  7.00000000e+00   9.93002911e-01   2.18739000e-03   1.98960611e+00   1.41028071e-02   1.05790559e+00   4.11955825e-03   3.07338601e+00   9.43858325e-02
  8.00000000e+00   9.90556498e-01   2.65533177e-03   1.99410615e+00   2.05678576e-02   1.03170098e+00   4.94509200e-03   2.90007563e+00   1.58855127e-01
  9.00000000e+00   9.91733715e-01   3.31196327e-03   2.01921911e+00   3.10852601e-02   1.01806574e+00   5.65784475e-03   2.72244110e+00   2.49513321e-01
  1.00000000e+01   9.91508496e-01   4.07245645e-03   1.99655520e+00   4.50458236e-02   1.00454218e+00   6.78262085e-03   2.53807173e+00   4.03001400e-01
  1.10000000e+01   9.89871073e-01   5.00206974e-03   2.00995612e+00   6.73224549e-02   9.99842856e-01   8.19167513e-03   2.44932948e+00   6.30661602e-01
  1.20000000e+01   9.80344945e-01   6.08084185e-03   2.03554741e+00   9.99239456e-02   9.87358126e-01   1.02093239e-02   2.51611336e+00   1.09359377e+00
  1.30000000e+01   9.79081983e-01   7.39774336e-03   2.24683484e+00   1.60674476e-01   9.89958127e-01   1.22012813e-02   2.46499847e+00   1.70871270e+00
  1.40000000e+01   9.62325097e-01   9.08199069e-03   2.26310691e+00   2.57454243e-01   9.71464704e-01   1.54598116e-02   1.40281525e+00   2.07278801e+00
  1.50000000e+01   9.51598639e-01   1.08990793e-02   2.32699355e+00   4.17375852e-01   9.61024674e-01   1.88034153e-02  -4.34087426e-01   2.05252864e+00
  1.60000000e+01   9.31138204e-01   1.33081654e-02   2.94579586e+00   8.17803036e-01   9.73703288e-01   2.22915418e-02   3.85553914e+00   5.00331671e+00
  1.70000000e+01   9.02184464e-01   1.63804815e-02   3.58986661e+00   1.85241379e+00   9.38904565e-01   2.65486355e-02   3.32712072e+00   9.65121233e+00
  1.80000000e+01   8.56270808e-01   1.93950000e-02   1.18615662e+00   1.69399427e+00   8.68396684e-01   3.24968598e-02  -5.52464825e-01   8.05563010e+00
  1.90000000e+01   8.02552018e-01   2.35314796e-02   1.26236680e+00   2.21925298e+00   8.07210814e-01   3.79809558e-02   1.16321229e+01   1.13779471e+02
  2.00000000e+01   7.11157074e-01   2.66978356e-02  -5.24240072e-02   2.04110581e+00   7.03629189e-01   4.37821369e-02  -4.85719328e+00   9.76164489e+01
  2.10000000e+01   6.15148979e-01   2.92246781e-02   2.73154814e+00   5.11958790e+00   6.37416244e-01   5.00602869e-02  -1.41426258e+01   4.34949731e+00
  2.20000000e+01   4.66456513e-01   2.91020158e-02  -1.27692247e+00   3.45910488e+00   5.24096242e-01   5.22998387e-02  -9.37133383e+00   1.89050441e+01
  2.30000000e+01   2.85362203e-01   2.45605856e-02   4.57281631e-02   2.68781973e+00   3.55851155e-01   5.48871350e-02  -2.54019806e+00   1.84171839e+00
  2.40000000e+01   8.54935939e-02   1.44107769e-02   2.36364415e-01   2.28382841e+00   5.77374043e-02   4.15862939e-02   9.12220171e-01   1.31442503e+00
