# lag  C_{y^2}
# # fit_params: A=8.44172108e-03  tau=1.59645299e-01
  0.00000000e+00   1.00000000e+00
  1.00000000e+00  -2.31124712e-04
  2.00000000e+00  -2.12588514e-03
  3.00000000e+00   4.14846680e-04
  4.00000000e+00  -3.22972393e-03
  5.00000000e+00  -5.40849020e-03
  6.00000000e+00  -3.39731897e-03
  7.00000000e+00   3.72662753e-03
  8.00000000e+00  -3.29695664e-03
  9.00000000e+00  -3.59273306e-03
  1.00000000e+01   3.03084712e-04
  1.10000000e+01  -3.27646149e-03
  1.20000000e+01  -3.44306927e-04
  1.30000000e+01  -3.45665209e-03
  1.40000000e+01  -6.58651586e-04
  1.50000000e+01   1.31692176e-03
  1.60000000e+01  -2.71265598e-03
  1.70000000e+01  -5.56276144e-05
  1.80000000e+01  -3.42902348e-03
  1.90000000e+01   6.42391378e-03
  2.00000000e+01  -6.99912783e-04
  2.10000000e+01   4.17408180e-03
  2.20000000e+01   1.26694307e-03
  2.30000000e+01   3.45259361e-03
  2.40000000e+01   5.71849611e-03
  2.50000000e+01   3.47175725e-03
  2.60000000e+01   2.90756630e-03
  2.70000000e+01  -9.58739562e-04
  2.80000000e+01  -4.01531179e-03
  2.90000000e+01   2.10358907e-03
  3.00000000e+01  -9.95075051e-04
  3.10000000e+01   1.20507002e-03
  3.20000000e+01   8.29447693e-05
  3.30000000e+01   3.62439032e-04
  3.40000000e+01  -7.04444517e-03
  3.50000000e+01   1.54121249e-04
  3.60000000e+01  -4.15477173e-04
  3.70000000e+01  -4.09780003e-03
  3.80000000e+01   6.76701962e-04
  3.90000000e+01   2.33262546e-03
  4.00000000e+01  -9.66422161e-04
  4.10000000e+01  -4.12730581e-03
  4.20000000e+01   3.22795014e-03
  4.30000000e+01   4.09317835e-03
  4.40000000e+01  -1.56887026e-03
  4.50000000e+01   2.70875946e-03
  4.60000000e+01   7.77821647e-03
  4.70000000e+01  -3.26442928e-03
  4.80000000e+01  -4.88754035e-03
  4.90000000e+01   1.70177290e-03
