# k  sigma_yc_n0  sigma_yc_n1  sigma_y2c_n0  sigma_y2c_n1  sigma_y3c_n0  sigma_y3c_n1  sigma_Ac_n0  sigma_Ac_n1
  1.00000000e+00   3.03145127e-04   4.26673102e-04   1.12756967e-04   1.56728193e-04   1.54641459e-04   2.13263287e-04   3.30667809e-04   4.66484697e-04
  2.00000000e+00   3.02794643e-04   4.27370110e-04   1.12694151e-04   1.57238115e-04   1.54738679e-04   2.12448660e-04   3.30668831e-04   4.66359254e-04
  4.00000000e+00   3.03118944e-04   4.29651544e-04   1.12073713e-04   1.58249116e-04   1.55209076e-04   2.12864142e-04   3.31231358e-04   4.67302490e-04
  8.00000000e+00   2.98898863e-04   4.33700896e-04   1.11718821e-04   1.58934788e-04   1.53762073e-04   2.13185203e-04   3.29199366e-04   4.71567682e-04
  1.60000000e+01   3.03111028e-04   4.35420148e-04   1.11744884e-04   1.59792660e-04   1.55811039e-04   2.15512971e-04   3.28348545e-04   4.73101319e-04
  3.20000000e+01   3.06654624e-04   4.38252479e-04   1.11040310e-04   1.61004251e-04   1.55308381e-04   2.13859013e-04   3.29719782e-04   4.80665871e-04
  6.40000000e+01   3.13209382e-04   4.39589755e-04   1.09377171e-04   1.57424824e-04   1.57807532e-04   2.14357820e-04   3.32714936e-04   4.82984059e-04
  1.28000000e+02   3.13286494e-04   4.47600494e-04   1.07650423e-04   1.52196030e-04   1.58741441e-04   2.19303745e-04   3.26964516e-04   4.78431272e-04
  2.56000000e+02   3.10819769e-04   4.50383042e-04   1.08119491e-04   1.45113246e-04   1.54559735e-04   2.11786363e-04   3.21758668e-04   4.79219906e-04
  5.12000000e+02   3.18909798e-04   4.22250817e-04   1.04796548e-04   1.43924378e-04   1.58203431e-04   2.23942510e-04   3.33722674e-04   4.55035684e-04
  1.02400000e+03   3.20047641e-04   4.17695807e-04   1.00328887e-04   1.54877768e-04   1.48523780e-04   2.36804926e-04   3.63005558e-04   4.50178646e-04
  2.04800000e+03   3.22903369e-04   3.91553048e-04   1.09253979e-04   1.71313006e-04   1.28010272e-04   2.38162789e-04   3.80537499e-04   4.40793976e-04
  4.09600000e+03   3.25097907e-04   3.93297848e-04   1.17067427e-04   2.03208647e-04   1.22104136e-04   2.37982979e-04   4.01893397e-04   4.20111777e-04
  8.19200000e+03   3.74137717e-04   3.64428007e-04   8.64701447e-05   1.92309399e-04   1.05946684e-04   2.60448838e-04   4.41338550e-04   3.57119795e-04
  1.63840000e+04   4.28599931e-04   4.46761842e-04   1.01435672e-04   2.38911222e-04   6.46447586e-05   3.34213494e-04   5.42401364e-04   3.32650141e-04
