# lag  C_{y^2}
# # fit_params: A=9.54524391e+01  tau=1.00002788e-01
  0.00000000e+00   1.00000000e+00
  1.00000000e+00   4.33504193e-03
  2.00000000e+00  -4.40557700e-03
  3.00000000e+00   9.42958135e-04
  4.00000000e+00  -6.49460417e-04
  5.00000000e+00   2.76873610e-03
  6.00000000e+00   5.67165324e-03
  7.00000000e+00  -2.57156359e-03
  8.00000000e+00   2.82579545e-03
  9.00000000e+00  -1.68488736e-03
  1.00000000e+01  -1.67047766e-03
  1.10000000e+01   4.30229410e-03
  1.20000000e+01  -3.01383172e-03
  1.30000000e+01  -1.01859335e-03
  1.40000000e+01  -1.88809648e-03
  1.50000000e+01   3.20790513e-03
  1.60000000e+01   5.27774237e-03
  1.70000000e+01   2.46839475e-03
  1.80000000e+01   2.33182701e-03
  1.90000000e+01  -6.40332873e-04
  2.00000000e+01   3.66042830e-03
  2.10000000e+01   7.04720160e-03
  2.20000000e+01  -1.36401646e-03
  2.30000000e+01  -1.60216181e-03
  2.40000000e+01  -1.70860482e-03
  2.50000000e+01   5.94007150e-03
  2.60000000e+01  -1.00923219e-03
  2.70000000e+01   8.50446298e-05
  2.80000000e+01  -4.40394077e-03
  2.90000000e+01   7.20752145e-03
  3.00000000e+01   1.40159192e-03
  3.10000000e+01   5.49300853e-03
  3.20000000e+01  -2.24101007e-03
  3.30000000e+01   1.95574904e-03
  3.40000000e+01  -2.77759071e-03
  3.50000000e+01   9.83033137e-04
  3.60000000e+01  -1.83874373e-03
  3.70000000e+01  -4.60533996e-04
  3.80000000e+01  -4.95167443e-03
  3.90000000e+01   2.96635392e-03
  4.00000000e+01   9.79890572e-04
  4.10000000e+01   2.52231977e-03
  4.20000000e+01   3.43103159e-03
  4.30000000e+01  -4.95903176e-03
  4.40000000e+01  -3.68364076e-03
  4.50000000e+01  -2.95081364e-03
  4.60000000e+01  -4.16352511e-03
  4.70000000e+01  -7.33528825e-05
  4.80000000e+01  -2.68569896e-03
  4.90000000e+01   5.22178659e-03
