# k  sigma_yc_n1  sigma_yc_n2  sigma_yc_n4  sigma_y2c_n1  sigma_y2c_n2  sigma_y2c_n4  sigma_y3c_n1  sigma_y3c_n2  sigma_y3c_n4  sigma_Ac_n1  sigma_Ac_n2  sigma_Ac_n4
  1.00000000e+00   3.05532085e-04   2.97858330e-04   3.24619285e-04   3.99562864e-04   3.10015335e-04   2.77017254e-04   2.26702455e-03   1.68950681e-03   1.34555387e-03   8.46278943e-04   5.56488369e-04   4.03308434e-04
  2.00000000e+00   3.05664043e-04   2.97860937e-04   3.24433955e-04   3.99420193e-04   3.09872282e-04   2.76976959e-04   2.26718159e-03   1.68988899e-03   1.34580726e-03   8.46040642e-04   5.56442323e-04   4.02682988e-04
  4.00000000e+00   3.05274449e-04   2.97581144e-04   3.24513957e-04   3.99145961e-04   3.09708460e-04   2.76658477e-04   2.26680815e-03   1.68981428e-03   1.34542444e-03   8.46233521e-04   5.55887571e-04   4.02214551e-04
  8.00000000e+00   3.06296591e-04   2.98275730e-04   3.24879238e-04   3.99638930e-04   3.09563313e-04   2.76302127e-04   2.27005622e-03   1.68990371e-03   1.34641742e-03   8.46802395e-04   5.55446379e-04   4.01451194e-04
  1.60000000e+01   3.06381733e-04   2.98222478e-04   3.25163742e-04   4.00980382e-04   3.10373592e-04   2.76063639e-04   2.28061741e-03   1.69684425e-03   1.34865067e-03   8.49798400e-04   5.55573830e-04   4.02489508e-04
  3.20000000e+01   3.06656020e-04   2.99033430e-04   3.26100512e-04   4.02320180e-04   3.11521472e-04   2.75763029e-04   2.28705533e-03   1.70253153e-03   1.35197237e-03   8.50760132e-04   5.55497542e-04   4.00299018e-04
  6.40000000e+01   3.06319531e-04   2.99002687e-04   3.27629711e-04   4.02980874e-04   3.11509575e-04   2.74215018e-04   2.28769887e-03   1.70142000e-03   1.35367428e-03   8.47484527e-04   5.53175966e-04   3.99342859e-04
  1.28000000e+02   3.05075352e-04   2.98395167e-04   3.28553828e-04   4.03084194e-04   3.11338152e-04   2.76286224e-04   2.28733199e-03   1.69731592e-03   1.35444160e-03   8.46185920e-04   5.51940190e-04   3.98542772e-04
  2.56000000e+02   3.09895820e-04   3.01421529e-04   3.29357453e-04   4.02048056e-04   3.07807815e-04   2.74973491e-04   2.28720267e-03   1.68597092e-03   1.35181493e-03   8.45993483e-04   5.51498460e-04   3.95692769e-04
  5.12000000e+02   3.10479724e-04   2.99997188e-04   3.26915891e-04   4.05421447e-04   3.05513108e-04   2.77199875e-04   2.31702527e-03   1.68698278e-03   1.35496813e-03   8.48606533e-04   5.46876086e-04   3.91851421e-04
  1.02400000e+03   3.03237215e-04   2.92585483e-04   3.18058588e-04   3.98121456e-04   2.99300144e-04   2.75487854e-04   2.27640708e-03   1.64512833e-03   1.31343533e-03   8.39466345e-04   5.39676946e-04   3.91527070e-04
  2.04800000e+03   3.13682663e-04   3.08099116e-04   3.24430518e-04   4.21424732e-04   3.10472579e-04   2.90242661e-04   2.39325371e-03   1.71065004e-03   1.37888806e-03   8.63931851e-04   5.31110045e-04   3.90804237e-04
  4.09600000e+03   3.03218272e-04   2.96263452e-04   3.04781284e-04   4.12011302e-04   3.05530846e-04   2.96498913e-04   2.35151701e-03   1.67941767e-03   1.32919259e-03   8.75711947e-04   5.49083333e-04   3.75391041e-04
  8.19200000e+03   3.09983932e-04   3.04142376e-04   3.14355146e-04   4.01569658e-04   2.95347795e-04   2.91303913e-04   2.29660852e-03   1.61727942e-03   1.27558358e-03   8.55453715e-04   5.35938794e-04   3.78545089e-04
  1.63840000e+04   3.14734234e-04   3.09911725e-04   3.18739960e-04   3.98171454e-04   2.93264254e-04   2.95307421e-04   2.30570871e-03   1.62875471e-03   1.28202813e-03   9.09707145e-04   5.51456448e-04   3.66662743e-04
  3.27680000e+04   3.17739460e-04   3.27977640e-04   3.42456686e-04   3.52646429e-04   2.72639996e-04   3.40398159e-04   2.14862919e-03   1.60397480e-03   1.38190857e-03   8.48851729e-04   5.12417064e-04   3.92467836e-04
  6.55360000e+04   3.29969499e-04   3.71722385e-04   3.87608863e-04   4.15177563e-04   3.31661041e-04   3.64805329e-04   2.53003826e-03   1.94170125e-03   1.53650101e-03   9.73650844e-04   6.29495981e-04   3.80424020e-04
  1.31072000e+05   2.73606071e-04   3.59943923e-04   3.35477529e-04   3.15120865e-04   2.65755533e-04   3.10680588e-04   1.93893412e-03   1.43233000e-03   1.46630350e-03   8.78629278e-04   5.29626375e-04   3.96117860e-04
