# lag  C_{y^2}
# # fit_params: A=2.63099877e-01  tau=3.10427733e+00
  0.00000000e+00   1.00000000e+00
  1.00000000e+00   1.89679695e-01
  2.00000000e+00   1.39838448e-01
  3.00000000e+00   1.00486026e-01
  4.00000000e+00   7.19471794e-02
  5.00000000e+00   5.20972091e-02
  6.00000000e+00   3.73021455e-02
  7.00000000e+00   2.74534830e-02
  8.00000000e+00   2.02690370e-02
  9.00000000e+00   1.39606777e-02
  1.00000000e+01   1.15986958e-02
  1.10000000e+01   5.89312812e-03
  1.20000000e+01   5.32059715e-03
  1.30000000e+01   3.78611637e-03
  1.40000000e+01   1.54979650e-03
  1.50000000e+01  -2.55772710e-04
  1.60000000e+01  -3.93128760e-04
  1.70000000e+01  -5.11145756e-04
  1.80000000e+01   1.03782909e-04
  1.90000000e+01  -6.75624780e-04
  2.00000000e+01  -1.25265124e-03
  2.10000000e+01   4.26328210e-04
  2.20000000e+01   4.04672150e-04
  2.30000000e+01   1.68131302e-03
  2.40000000e+01   7.87005498e-04
  2.50000000e+01  -3.13633171e-04
  2.60000000e+01  -2.00550807e-03
  2.70000000e+01  -1.78455094e-03
  2.80000000e+01  -1.27215503e-03
  2.90000000e+01  -2.02030383e-03
  3.00000000e+01  -1.89145473e-03
  3.10000000e+01  -1.43653467e-04
  3.20000000e+01  -6.41636655e-04
  3.30000000e+01  -8.64448743e-04
  3.40000000e+01   3.88079697e-04
  3.50000000e+01   7.17760163e-04
  3.60000000e+01   6.90568834e-04
  3.70000000e+01   9.24561579e-05
  3.80000000e+01  -1.45019418e-04
  3.90000000e+01   6.85720792e-04
  4.00000000e+01   6.96605282e-04
  4.10000000e+01   4.15892681e-04
  4.20000000e+01   1.55920700e-03
  4.30000000e+01   3.68263145e-04
  4.40000000e+01   2.54954327e-04
  4.50000000e+01   1.17726672e-03
  4.60000000e+01  -2.37674982e-04
  4.70000000e+01   3.66719260e-04
  4.80000000e+01  -2.44362613e-04
  4.90000000e+01   1.27565700e-03
