# k  sigma_y  sigma_y2  sigma_y3  sigma_A  sigma_E
  1.00000000e+00   4.58896695e-04   3.37737753e-04   7.74266338e-04   3.39481715e-04   8.12159745e-04
  2.00000000e+00   4.53331773e-04   3.48548476e-04   7.66755012e-04   3.38659321e-04   8.13695309e-04
  4.00000000e+00   4.52087209e-04   3.56895585e-04   7.64672284e-04   3.38170489e-04   8.13455008e-04
  8.00000000e+00   4.50486074e-04   3.61871963e-04   7.63216564e-04   3.38713010e-04   8.14530915e-04
  1.60000000e+01   4.49093493e-04   3.63763839e-04   7.61008537e-04   3.38358565e-04   8.14382807e-04
  3.20000000e+01   4.48777950e-04   3.66123938e-04   7.61059883e-04   3.39043516e-04   8.16856082e-04
  6.40000000e+01   4.49743512e-04   3.66333730e-04   7.64943159e-04   3.41803171e-04   8.22809256e-04
  1.28000000e+02   4.52100501e-04   3.66898658e-04   7.67973455e-04   3.40610454e-04   8.28874696e-04
  2.56000000e+02   4.52349139e-04   3.66969786e-04   7.67187988e-04   3.41779227e-04   8.25969242e-04
  5.12000000e+02   4.59544967e-04   3.65861184e-04   7.76906290e-04   3.43240051e-04   8.41375355e-04
  1.02400000e+03   4.58321731e-04   3.64695558e-04   7.74528640e-04   3.39887236e-04   8.45070687e-04
  2.04800000e+03   4.54199792e-04   3.59916609e-04   7.76142696e-04   3.45281928e-04   8.39525490e-04
  4.09600000e+03   4.23716514e-04   3.63440386e-04   7.36709767e-04   3.48785551e-04   8.25358915e-04
  8.19200000e+03   4.29319650e-04   3.85628088e-04   7.35208058e-04   3.46473457e-04   8.17370405e-04
  1.63840000e+04   4.45215820e-04   3.75828700e-04   7.40030297e-04   3.51848926e-04   8.17971220e-04
  3.27680000e+04   4.66350449e-04   3.55015759e-04   7.21942037e-04   3.13795592e-04   7.25060381e-04
  6.55360000e+04   3.60975316e-04   3.20068467e-04   6.25937587e-04   2.98042207e-04   5.02580596e-04
  1.31072000e+05   4.26809121e-04   3.21752189e-04   7.44175281e-04   3.17931397e-04   4.24983984e-04
